date,critical_staffing_shortage_anticipated_within_week_yes,hospital_onset_covid,inpatient_beds_used_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid,adult_icu_bed_covid_utilization_utilization,deaths_covid
2022-04-05,0.15101522842639595,7.019240114272277,143.48397270739275,134.78992685392421,0.028576705894770172,2.087657421446593
2022-04-06,0.1506112469437653,6.66247133391097,127.60232906660679,119.82547411935805,0.02839100118405473,0.9997886614783204
2022-04-07,0.14122821306401695,6.950140116657019,125.7272367409117,117.80719745163505,0.028269986893840107,1.3410470853458512
2022-04-08,0.14299674267100979,6.855834703195443,124.12906588469339,115.9714080481221,0.028050748501029926,1.2817885628365782
2022-04-09,0.13428943937418514,6.744868147753595,119.05792753972406,112.64111494841873,0.027146872896678238,0.8714555943897455
2022-04-10,0.13400717313335506,6.402175650453279,121.17699718789675,113.91039138254781,0.026770213499078946,2.10196589984448
2022-04-11,0.15115858073859523,7.155757274318188,144.9979787401789,135.6997557490403,0.027577524516300026,1.9227267343756285
2022-04-12,0.1511796733212341,7.106571870462,142.90598745484795,132.9670726672526,0.02626824733295531,1.9006726147456519
2022-04-13,0.147725419859775,6.120284904614117,125.77070244465597,115.76357900772797,0.026388761121259513,0.9755172243347666
2022-04-14,0.1419491525423729,6.390787282110282,127.54800957346104,119.48461866460278,0.02598032786885246,2.0791032305403823
2022-04-15,0.13964477757862148,6.272866908577901,129.13049106291862,120.65163314729871,0.025920855164424318,0.7962942185257208
2022-04-16,0.13459344956819294,5.990908789401165,120.17397886484207,112.66651129505854,0.024097342672156977,0.7386500884201463
2022-04-17,0.13314863102998697,5.932014066884445,122.06269234360374,113.95710747197373,0.024060330380655973,2.1269256244059527
2022-04-18,0.15112481857764876,6.838331106019601,142.7460103506186,134.43623152825427,0.02468198468198468,1.3636543022085144
2022-04-19,0.15179542981501631,6.837451326566747,148.44578368971227,139.8299219457133,0.025218645390915465,1.1621782295701437
2022-04-20,0.14765867188774678,6.081060054632705,132.37561542723645,124.28635399462729,0.024869402739581825,1.2704663438973327
2022-04-21,0.14313661558526247,6.681112674150394,134.59117292292504,126.10890697998109,0.025011506344927346,1.3178402068062567
2022-04-22,0.14020215194000651,8.644845792592966,136.98800610988158,128.41408948577507,0.02541825420890957,1.2657946574209464
2022-04-23,0.13500733735529105,6.913145301211967,137.00369320104758,128.69358915559062,0.024676150361598984,1.0701146886016435
2022-04-24,0.13274624918460534,8.623269503306988,135.27042242702908,126.89831239266961,0.024730610615937208,0.9536260704375038
2022-04-25,0.15005436752446538,7.503295530516168,163.54711952770563,154.0421029104526,0.025945657964837505,1.1906689998061866
2022-04-26,0.14791288566243194,7.830214692936851,170.1359493303623,160.29475332382623,0.02671735502159112,1.4768540349895707
2022-04-27,0.14525869103966052,9.452262123197494,153.31040857693873,145.12146329677498,0.026434033160785138,1.462840320182749
2022-04-28,0.13812785388127855,7.992424126612948,152.20861581888028,143.67353564030532,0.02601912629405033,3.7721403746932274
2022-04-29,0.13926940639269406,9.706906889520784,150.14270503610712,141.38346915420286,0.02623680261183223,2.2970145650920206
2022-04-30,0.13454011741682975,7.872808771169225,148.60093432162205,140.51180494270076,0.026005861977084998,2.0102372030661315
2022-05-01,0.132952691680261,7.447062575250945,150.04251256023196,142.61606473142123,0.02587358409916649,0.9377288981328145
2022-05-02,0.14677068214804065,7.933863418030782,181.03403912653235,172.19088945450116,0.027073748038615994,1.697581284518373
2022-05-03,0.1489013982204467,8.695658697801175,185.8121700707699,176.32121398231308,0.027104852983911448,2.318276778853013
2022-05-04,0.14595918367346938,10.490945954892377,167.80111784799033,158.81435371030034,0.027968247270425656,2.0628439343305245
2022-05-05,0.14045676998368678,8.920746462582265,168.59361734948624,159.10255231706265,0.028376351724682294,1.38828887197544
2022-05-06,0.13845401174168298,10.71083179023534,170.12413510728143,160.9778048920537,0.027485172472744967,1.3549859493364025
2022-05-07,0.13203851803492736,10.91874416204705,171.41205809855683,162.74556764951546,0.02801962957099889,1.208545198204806
2022-05-08,0.13124387855044076,10.898808398217993,171.5434462788944,162.47394366065936,0.02851746428666436,2.047308321524519
2022-05-09,0.1458371122800653,13.008020747154642,206.41795088492202,195.25228870737274,0.02911331881209159,1.325092352489011
2022-05-10,0.14457174031642117,9.524027838258569,211.0572724189838,199.54596511947966,0.029173441197076048,3.6830466081658937
2022-05-11,0.14493464052287583,11.034578981086733,185.39814455157594,174.50200493839282,0.030026830808080808,1.7436885651910419
2022-05-12,0.13977792292619204,9.779083960202776,190.57030667001337,179.68110027557344,0.029961759333482267,2.3639365897433495
2022-05-13,0.1381450032658393,11.67331422846198,195.82082883568725,184.4206112530331,0.030419908330801642,1.1096503429455875
2022-05-14,0.12988073844143114,10.506864583254735,198.04986481369312,185.78377181843882,0.030829588982994684,1.575289602320713
2022-05-15,0.13135108642378696,10.305885005828511,205.04629343927073,194.83921607152615,0.032239585414918136,1.081689997430259
2022-05-16,0.14643440391943385,10.11547104073446,239.6018844862372,225.77150092661128,0.033925149063032366,1.424300642949642
2022-05-17,0.14635917922643907,10.739133762467903,247.94004347088693,235.9152226154357,0.03535032690118849,1.4089744096849117
2022-05-18,0.1456326530612245,12.745109864760936,223.38292606002642,210.6096863360565,0.03449414748857241,1.114495864581948
2022-05-19,0.13807736249387956,10.611861523626356,225.57612396198232,213.66969416397436,0.03532336999421144,1.1346823273741482
2022-05-20,0.1375877264566672,11.340633116110148,224.75911434441358,212.8018509266789,0.0350713024224372,1.766160019902916
2022-05-21,0.12993796931113288,10.353096479492882,223.1536602172493,211.79839198538596,0.035487505799695104,1.8104606093465851
2022-05-22,0.12883736120182887,10.818507258571884,225.42751184715883,213.4218054692342,0.03599647642944851,1.3145275338660947
2022-05-23,0.14314259763851045,11.434679859131661,265.581445277125,252.51145410253494,0.036436003258938705,1.478344016386164
2022-05-24,0.14651881476095255,11.641491033949997,268.0714113786151,254.50915628092224,0.03626963611055876,2.5148164896253373
2022-05-25,0.14066329031204053,12.243049105851268,238.15179945126727,225.93561989293437,0.03702138896223924,1.3454083724207146
2022-05-26,0.13471587197909862,14.118456135593549,236.4262777496844,225.12696601109093,0.03778981638920743,1.3254612877785479
2022-05-27,0.136,16.97796451898942,235.86222956431536,223.74303211766713,0.038622129436325675,2.051386079461835
2022-05-28,0.12926391382405744,13.297502920938339,229.3132766767441,217.14851883086942,0.03733673482946014,1.6326672185503255
2022-05-29,0.1276526281423441,13.251960150520503,232.83202677342388,220.82115523819954,0.03724683375193716,1.5895781003642537
2022-05-30,0.13675213675213677,13.889383150777197,272.2463735643583,258.7790519264048,0.038841553662146484,3.6135874209840257
2022-05-31,0.14173944687045123,13.4074028529825,282.7981891295381,270.4942482046274,0.039502589569825185,1.524831102225989
2022-06-01,0.13863487916394512,14.139177663347674,252.73522404821472,239.61337451640932,0.040310445869961194,1.560121849946651
2022-06-02,0.13511749347258487,13.807106830834744,250.1885096606515,236.6503342867232,0.040467685169318375,2.283359851311244
2022-06-03,0.13248490781530428,14.06973210585094,246.2874147694957,233.2302004552359,0.04051363858090203,1.5496617576067762
2022-06-04,0.12644803393702073,13.883548848686928,238.04751917429212,226.06944576660968,0.03999681722939819,3.000635947816533
2022-06-05,0.1275310254735467,13.72704462542023,240.19887593933248,226.7688293216351,0.040075140889167186,1.4280599150758913
2022-06-06,0.14270172257479602,11.294391245659074,275.7525502801278,263.35928274572467,0.04150268813618111,5.5604606336298
2022-06-07,0.14461985120667756,11.407422779733452,276.74207191515376,262.7142156603765,0.04255347327991524,7.587409203656974
2022-06-08,0.14115535248041775,12.935966780659253,245.53151993470246,234.31256845565812,0.04295904887714663,7.076254127314543
2022-06-09,0.13588907014681892,14.670334976804202,245.92147517526215,234.4989808742525,0.04320620179651017,1.3013458107924771
2022-06-10,0.13442088091353996,11.189975639399334,244.45831115414717,232.84223646150446,0.04180431177446103,2.235357549687171
2022-06-11,0.12822185970636216,10.195794791362923,238.86683785666128,227.37270968652575,0.04273527023969549,1.698460258940863
